Time (min),Intensity (mAU)
0.005417,0.012398
0.012084,0.012875
0.018752,0.012398
0.025419,0.012398
0.032087,0.012875
0.038754,0.013351
0.045422,0.014305
0.052090,0.015736
0.058757,0.019073
0.065425,0.022888
0.072092,0.026703
0.078760,0.030041
0.085427,0.032425
0.092095,0.033855
0.098762,0.035763
0.105430,0.037670
0.112098,0.039577
0.118765,0.040531
0.125433,0.040531
0.132100,0.039577
0.138768,0.037670
0.145435,0.035286
0.152103,0.032902
0.158770,0.032902
0.165438,0.034332
0.172106,0.035286
0.178773,0.035286
0.185441,0.036240
0.192108,0.036716
0.198776,0.036716
0.205443,0.035286
0.212111,0.033855
0.218778,0.032902
0.225446,0.030994
0.232114,0.029564
0.238781,0.028133
0.245449,0.026703
0.252116,0.026226
0.258784,0.026703
0.265451,0.027657
0.272119,0.029087
0.278786,0.030041
0.285454,0.030994
0.292122,0.030994
0.298789,0.031471
0.305457,0.031471
0.312124,0.031471
0.318792,0.031948
0.325459,0.032425
0.332127,0.034809
0.338794,0.036716
0.345462,0.038147
0.352130,0.038147
0.358797,0.036716
0.365465,0.035286
0.372132,0.032902
0.378800,0.030994
0.385467,0.029564
0.392135,0.029087
0.398802,0.029087
0.405470,0.029564
0.412138,0.030041
0.418805,0.030518
0.425473,0.030994
0.432140,0.031471
0.438808,0.031471
0.445475,0.030994
0.452143,0.030518
0.458810,0.030518
0.465478,0.030994
0.472146,0.031948
0.478813,0.032902
0.485481,0.033379
0.492148,0.032902
0.498816,0.032425
0.505483,0.032425
0.512151,0.031948
0.518818,0.031471
0.525486,0.031948
0.532154,0.032425
0.538821,0.032425
0.545489,0.031948
0.552156,0.031471
0.558824,0.031471
0.565491,0.031471
0.572159,0.031471
0.578826,0.032425
0.585494,0.034332
0.592162,0.037193
0.598829,0.040054
0.605497,0.041962
0.612164,0.042915
0.618832,0.043392
0.625499,0.042439
0.632167,0.041485
0.638834,0.041485
0.645502,0.041485
0.652170,0.041962
0.658837,0.042915
0.665505,0.044346
0.672172,0.044823
0.678840,0.045300
0.685507,0.047207
0.692175,0.049114
0.698842,0.050545
0.705510,0.050545
0.712178,0.049114
0.718845,0.047207
0.725513,0.044823
0.732180,0.042915
0.738848,0.041962
0.745515,0.041962
0.752183,0.043392
0.758850,0.045776
0.765518,0.047207
0.772186,0.048161
0.778853,0.048161
0.785521,0.048161
0.792188,0.048161
0.798856,0.049114
0.805523,0.051022
0.812191,0.053406
0.818859,0.054836
0.825526,0.055790
0.832194,0.055313
0.838861,0.053883
0.845529,0.051975
0.852196,0.052452
0.858864,0.054359
0.865531,0.057220
0.872199,0.060081
0.878866,0.062943
0.885534,0.066280
0.892202,0.068665
0.898869,0.070095
0.905537,0.071049
0.912204,0.070572
0.918872,0.069618
0.925539,0.068665
0.932207,0.067711
0.938874,0.067234
0.945542,0.067234
0.952210,0.068188
0.958877,0.070095
0.965545,0.072002
0.972212,0.072002
0.978880,0.071526
0.985547,0.070572
0.992215,0.069618
