Time (min),Intensity (mAU)
0.002083,0.015674235273204495
0.008751,0.015498925507656885
0.015418,0.016489999909116572
0.022086,0.018331795362409274
0.028754,0.02070864875236071
0.035421,0.023304896963796673
0.042089,0.025585986456481184
0.048756,0.027390041085119693
0.055424,0.02845279242921567
0.062091,0.028829430434821102
0.068759,0.02879391603031114
0.075426,0.02857055452725856
0.082094,0.02839675142498807
0.088762,0.028462683950156088
0.095429,0.028805555472905052
0.102097,0.029249566372750068
0.108764,0.02953987154256872
0.115432,0.029525445545065886
0.122099,0.029129531790000253
0.128767,0.028571976795927267
0.135434,0.028206864462016725
0.142102,0.028060167410954528
0.14877,0.028053653089324816
0.155437,0.028159034622639523
0.162105,0.028261467355115033
0.168772,0.02823460095648189
0.17544,0.027980138247352335
0.182107,0.027374240091249724
0.188775,0.0263532415353463
0.195442,0.025101250806735642
0.20211,0.023827676629195577
0.208778,0.0224363488025923
0.215445,0.020810631514005043
0.222113,0.019038068430502965
0.22878,0.017224885528253242
0.235448,0.015456234777536729
0.242115,0.013826180628748252
0.248783,0.01247484764591408
0.25545,0.011609276075496302
0.262118,0.011419240556179665
0.268786,0.011964340532169066
0.275453,0.012975624384598363
0.282121,0.014036818268337067
0.288788,0.014899074952018804
0.295456,0.015333350763184423
0.302123,0.015155020605012486
0.308791,0.01438488093393268
0.315458,0.01317695657065525
0.322126,0.011717820861909544
0.328794,0.010176567173323162
0.335461,0.008680763755867776
0.342129,0.007197958922541671
0.348796,0.005677004791759411
0.355464,0.004338295717070991
0.362131,0.0034857703624201243
0.368799,0.0033363743183713566
0.375466,0.004025685872840586
0.382134,0.0053940739475990054
0.388802,0.007092234630239646
0.395469,0.008834518360784367
0.402137,0.010329694535202522
0.408804,0.011329215759178456
0.415472,0.01175678551248874
0.422139,0.011739187799750585
0.428807,0.011470827610591025
0.435474,0.01110748825383602
0.442142,0.010791839318165804
0.44881,0.01050966491952983
0.455477,0.010176313606702653
0.462145,0.009760336605019265
0.468812,0.009166379639411533
0.47548,0.008284674511370401
0.482147,0.007029866510477984
0.488815,0.005297105905711338
0.495482,0.0030629157784111878
0.50215,0.0006500762809928998
0.508818,-0.0014333154059610591
0.515485,-0.0029078283318193137
0.522153,-0.0036216893649593934
0.52882,-0.003469231901932282
0.535488,-0.002493873624434182
0.542155,-0.0009052294531626413
0.548823,0.0009764633317503655
0.55549,0.0028688804083427527
0.562158,0.00462031969675224
0.568826,0.006355240995019664
0.575493,0.008215297465827893
0.582161,0.009835160024698728
0.588828,0.01074008900133374
0.595496,0.010926760997384977
0.602163,0.010527705814912452
0.608831,0.009458700664224318
0.615498,0.007692753539908236
