Time (min),Intensity (mAU)
0.005417,0.012499925872653025
0.012084,0.012087952535914092
0.018752,0.01195197981621347
0.025419,0.012133808675581049
0.032087,0.012675240076046711
0.038754,0.013618074979640371
0.045422,0.015070288762660804
0.05209,0.01709086634494917
0.058757,0.01962991400102328
0.065425,0.02257819248412035
0.072092,0.025712921880144506
0.07876,0.028866563349887797
0.085427,0.03190963874046605
0.092095,0.03462712456685951
0.098762,0.03682675587116361
0.10543,0.038447779053767804
0.112098,0.03947540412057235
0.118765,0.03982418228929539
0.125433,0.03941439170835688
0.1321,0.038402388858698476
0.138768,0.03713719554110034
0.145435,0.035893649616985435
0.152103,0.03485145406860795
0.15877,0.034224217263193954
0.165438,0.0341963585722539
0.172106,0.03467830746790627
0.178773,0.035354467259714376
0.185441,0.03588722328244836
0.192108,0.03602373739401546
0.198776,0.03577162352545333
0.205443,0.03518574984543296
0.212111,0.03414264934745683
0.218778,0.03265487517474772
0.225446,0.03104336416586686
0.232114,0.029616688037726394
0.238781,0.02843999624108188
0.245449,0.027572308934785256
0.252116,0.02713747446018915
0.258784,0.027152475630006435
0.265451,0.027587853842405315
0.272119,0.028384403668062233
0.278786,0.0293308515241777
0.285454,0.030188130316379597
0.292122,0.030874629693929935
0.298789,0.03136336789416505
0.305457,0.03173315326498268
0.312124,0.0321938421971043
0.318792,0.032865174701981886
0.325459,0.03379954787767066
0.332127,0.03491326067763105
0.338794,0.035935217653840404
0.345462,0.03657806370533586
0.35213,0.03660830200306721
0.358797,0.03596750919024701
0.365465,0.03478801994827093
0.372132,0.033325460382904154
0.3788,0.03187544950380626
0.385467,0.030686988386166413
0.392135,0.029950162324479366
0.398802,0.029670942748763578
0.40547,0.029758890501539383
0.412138,0.03008382341035877
0.418805,0.03042262663507208
0.425473,0.03066774300829623
0.43214,0.030778559273897173
0.438808,0.030738248413518143
0.445475,0.030666536681587322
0.452143,0.03070405728937238
0.45881,0.03095326657326558
0.465478,0.0314334213563317
0.472146,0.0320411041086329
0.478813,0.03258794670329322
0.485481,0.03289682613800805
0.492148,0.032922534482521186
0.498816,0.03271060216874988
0.505483,0.03238335727500359
0.512151,0.03208749918994622
0.518818,0.03188063618820237
0.525486,0.031779724009232325
0.532154,0.0317496611738585
0.538821,0.031731495783979234
0.545489,0.031723193341097154
0.552156,0.03173648743993228
0.558824,0.03183221736317918
0.565491,0.03210535324069297
0.572159,0.03266484717683032
0.578826,0.03364010538982827
0.585494,0.03504899089030288
0.592162,0.0368059192253449
0.598829,0.03870526340833313
0.605497,0.04042917297464335
0.612164,0.04172992786689972
0.618832,0.04245235241325134
0.625499,0.04260903782683799
0.632167,0.04240168964339046
0.638834,0.0421017311518685
0.645502,0.04198426233493645
0.65217,0.04222844834873066
0.658837,0.04290654762476484
0.665505,0.043979529375449924
0.672172,0.04533325030792786
0.67884,0.04676208571928536
0.685507,0.04797689658056901
0.692175,0.04880872175790971
0.698842,0.049148384460727126
0.70551,0.048878538360162246
0.712178,0.04800675511140803
0.718845,0.04669399075822596
0.725513,0.045215050751024735
0.73218,0.04396533058978527
0.738848,0.04331522380407699
0.745515,0.0433175194624949
0.752183,0.0438602206204285
0.75885,0.044810776646414474
0.765518,0.04592115629247488
0.772186,0.0469979614676962
0.778853,0.04794751061847659
0.785521,0.048767190589553824
0.792188,0.04956161642144685
0.798856,0.0504808607142449
0.805523,0.05163464121417762
0.812191,0.05280084243265144
0.818859,0.05360570088608446
0.825526,0.05395466023609848
0.832194,0.05391001937439241
0.838861,0.05366465167425466
0.845529,0.0535618648800174
0.852196,0.053971347657673474
0.858864,0.055228428675054154
0.865531,0.057375403743596995
0.872199,0.06013822037535868
0.878866,0.06308273459869751
0.885534,0.06577841084525929
0.892202,0.06797245188927198
0.898869,0.06946354914561963
0.905537,0.07013254295914093
0.912204,0.07004622631759513
0.918872,0.0695127754503735
0.925539,0.06895037210170345
0.932207,0.06853139344924512
0.938874,0.0683655274547465
0.945542,0.06858599804651858
0.95221,0.06911847381688717
0.958877,0.06979259858235881
0.965545,0.07043309155567531
0.972212,0.07079949003607583
0.97888,0.07071254468921064
0.985547,0.07025599301118457
0.992215,0.0696038185763917
0.998882,0.06895356171629538
1.00555,0.06859466227980417
1.012218,0.06868328468408202
1.018885,0.06928555618346768
1.025553,0.07039664954926034
1.03222,0.07182237119428397
1.038888,0.07331421365684587
1.045555,0.0746371504824308
1.052223,0.07554642219863163
1.05889,0.07587493820148972
1.065558,0.07568423157979606
1.072226,0.07515436889904265
1.078893,0.07447927920486713
1.085561,0.07389548604309172
1.092228,0.0735430484774672
1.098896,0.07351700808236902
1.105563,0.07385382743650218
1.112231,0.0744475294732349
1.118899,0.07531073141125005
1.125566,0.0765614136038108
1.132234,0.07821825582267913
1.138901,0.08025736307875836
1.145569,0.0825921082576215
1.152236,0.08504065597064019
1.158904,0.08740388782826036
